#            mhscp              width               c000               c100               c200               c300
     5.0000000e+01      0.0000000e+00      2.5407508e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-22      2.5407435e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-20      2.5400179e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-19      2.5334314e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.0000000e-19      2.5043785e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-18      2.4685632e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-18      2.4123960e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-18      2.3173784e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-18      2.1637388e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-17      1.9099497e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-17      1.6603396e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-17      1.3694288e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-17      1.0484269e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-17      7.3535826e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-17      4.4579081e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-16      2.5014177e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-16      1.4179371e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-16      9.1199983e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-16      5.6340963e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-16      2.9134304e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-16      1.0392550e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-15      2.4507112e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-15      3.0352426e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-15      2.2909402e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-15      9.5047101e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-15      1.0669770e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-14      5.8338041e-21      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      0.0000000e+00      2.7158164e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-22      2.7158097e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-20      2.7151485e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-19      2.7091415e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.0000000e-19      2.6825337e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-18      2.6494843e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-18      2.5971072e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-18      2.5069998e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-18      2.3573960e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-17      2.1001274e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-17      1.8354810e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-17      1.5137115e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-17      1.1438995e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-17      7.7090814e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-17      4.1853695e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-16      1.8053395e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-16      5.6801388e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-16      1.5631625e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-16      3.9056528e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-16      8.6231936e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-16      1.2936823e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-15      1.4749228e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-15      9.9940904e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-15      3.9447781e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-15      5.1069444e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-15      2.1828073e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-14      1.9986679e-23      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      0.0000000e+00      1.7581692e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-22      1.7581676e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-20      1.7580079e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-19      1.7565426e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.0000000e-19      1.7497341e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-18      1.7405747e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.8000000e-18      1.7245370e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-18      1.6928844e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.6000000e-18      1.6302477e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-17      1.4983380e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-17      1.3381690e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-17      1.1198494e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-17      8.4861844e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-17      5.6450800e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-17      2.9652172e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-16      1.2180591e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-16      3.5770436e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-16      8.8972795e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-16      1.9413153e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      4.6000000e-16      3.8894171e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      6.8000000e-16      5.9284156e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-15      7.5207148e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.5000000e-15      5.5574612e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      2.2000000e-15      2.2992676e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.2000000e-15      3.3929208e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.6000000e-15      2.2670698e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-14      1.1752599e-22      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      0.0000000e+00      2.4034685e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e-22      2.4034658e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e-20      2.4032046e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e-19      2.4008095e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      5.0000000e-19      2.3897329e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e-18      2.3749462e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.8000000e-18      2.3493027e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      3.2000000e-18      2.2993655e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      5.6000000e-18      2.2023327e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e-17      2.0030297e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.5000000e-17      1.7675095e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.2500000e+02      2.2000000e-17      1.4554236e-01      0.0000000e+00      0.0000000e+00      0.0000000e+00
