#            mprod              mhscp              width               c000               c100               c200               c300
     5.5000000e+01      5.0000000e+01      0.0000000e+00      3.1330830e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-22      3.1330732e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-20      3.1321078e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-19      3.1233451e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.0000000e-19      3.0846950e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-18      3.0370543e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.8000000e-18      2.9623548e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-18      2.8360246e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.6000000e-18      2.6318647e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-17      2.2949775e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-17      1.9641818e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-17      1.5795969e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-17      1.1570518e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      4.6000000e-17      7.4831066e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      6.8000000e-17      3.7727349e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-16      1.3932761e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-16      2.9381220e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-16      3.3244173e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-16      1.4783621e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      4.6000000e-16      1.8926583e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      6.8000000e-16      2.0082409e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-15      9.4633190e-20      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.6000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      0.0000000e+00      3.1330830e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-22      3.1330733e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-20      3.1321113e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-19      3.1233795e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.0000000e-19      3.0848651e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-18      3.0373893e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.8000000e-18      2.9629431e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-18      2.8370259e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.6000000e-18      2.6334910e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-17      2.2975105e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-17      1.9674346e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-17      1.5834350e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-17      1.1611434e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      4.6000000e-17      7.5211751e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      6.8000000e-17      3.8011415e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-16      1.4087307e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-16      2.9871431e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-16      3.4060834e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-16      1.5314801e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      4.6000000e-16      1.9911771e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      6.8000000e-16      2.1646778e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-15      1.0591972e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.6000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-22      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-20      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      5.0000000e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.8000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      3.2000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      5.6000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.5000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      2.2000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      3.2000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      4.6000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      6.8000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.5000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      2.2000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      3.2000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      4.6000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      6.8000000e-16      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.5000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      2.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      3.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      5.6000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e-22      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e-20      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      5.0000000e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.8000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      3.2000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      5.6000000e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
