./bake.py -t TGQ -a -m -p 2 "2000,(1600,2300,200),(100,1800,200)"
Thu May  2 13:57:12 2019: ./bake.py -t TGQ -a -p 2 -m 1800,(1600,2300,200),(100,1800,200)
[smodels] Thu May  2 14:08:32 2019: started ./bake.py -t TGQ -a -p 2 -m 1600,(1600,2300,200),(100,1800,200)
[smodels] Thu May  2 14:08:32 2019: ended: ./bake.py -t TGQ -a -p 2 -m 1600,(1600,2300,200),(100,1800,200)
[smodels] Fri May  3 13:44:29 2019: started ./bake.py -t T6WW -m 900,"half",860 -a
[smodels] Fri May  3 13:44:30 2019: ended: ./bake.py -t T6WW -m 900,"half",860 -a
[smodels] Fri May  3 13:45:11 2019: started ./bake.py -t T6WW -m 800,"half",760
[smodels] Fri May  3 13:45:11 2019: ended: ./bake.py -t T6WW -m 800,"half",760
[smodels] Fri May  3 13:45:21 2019: started ./bake.py -a -t T6WW -m 800,"half",760
[smodels] Fri May  3 13:45:21 2019: ended: ./bake.py -a -t T6WW -m 800,"half",760
[smodels] Fri May  3 14:28:37 2019: started ./bake.py -t T6WW -m 700,"half",660 -a
[smodels] Fri May  3 14:28:37 2019: ended: ./bake.py -t T6WW -m 700,"half",660 -a
[smodels] Fri May  3 20:36:53 2019: started ./bake.py -t T6WW -a -m (400,2400,200),(10,2300,200),(1,2200,200) -p 6
[smodels] Fri May  3 20:36:53 2019: ended: ./bake.py -t T6WW -a -m (400,2400,200),(10,2300,200),(1,2200,200) -p 6
[smodels] Fri May  3 22:06:33 2019: started ./bake.py -t T5WW -a -m (1000,2000,100),(0,400,100),60
[smodels] Fri May  3 22:06:33 2019: ended: ./bake.py -t T5WW -a -m (1000,2000,100),(0,400,100),60
[smodels] Fri May  3 22:06:37 2019: started ./bake.py -t T5WW -a -m (1000,2000,100),(0,400,100),60 -p 4
[smodels] Fri May  3 22:06:37 2019: ended: ./bake.py -t T5WW -a -m (1000,2000,100),(0,400,100),60 -p 4
[smodels] Fri May  3 22:07:04 2019: started ./bake.py -t T5WW -a -m (1000,2000,100),(150,400,100),60 -p 8
[smodels] Fri May  3 22:07:04 2019: ended: ./bake.py -t T5WW -a -m (1000,2000,100),(150,400,100),60 -p 8
[smodels] Fri May  3 22:07:37 2019: started ./bake.py -a -t T5WW -m (1400,2000,100),(1400,1800,100),60
[smodels] Fri May  3 22:07:37 2019: ended: ./bake.py -a -t T5WW -m (1400,2000,100),(1400,1800,100),60
[smodels] Sat May  4 16:42:04 2019: started ./bake.py -t T2 -j 1 -a -m (100.,300.,50.),(0.,300.,50.) -p 4
[smodels] Sat May  4 16:42:04 2019: ended: ./bake.py -t T2 -j 1 -a -m (100.,300.,50.),(0.,300.,50.) -p 4
[smodels] Sun May  5 11:27:58 2019: started ./bake.py -t T5WZh -a -m (400,2400,50),145,60 -p 6
[smodels] Sun May  5 11:27:58 2019: ended: ./bake.py -t T5WZh -a -m '(400,2400,50),145,60' -p 6
[smodels] Sun May  5 19:35:43 2019: started ./bake.py -t T6WW -a -m (200,2400,50),145,60 -p 6
[smodels] Sun May  5 19:35:43 2019: ended: ./bake.py -t T6WW -a -m '(200,2400,50),145,60' -p 6
[hepgpu01] Mon May  6 10:44:11 2019: started ./bake.py -t T5ZZ -a -p 10 -m (2100,2400,100),(100,2400,200),(0,235~0,200)
[hepgpu01] Mon May  6 10:44:14 2019: started ./bake.py -t T5ZZ -a -p 10 -m (2100,2400,100),(100,2400,200),(0,2350,200)
[hepgpu01] Mon May  6 10:44:14 2019: ended: ./bake.py -t T5ZZ -a -p 10 -m '(2100,2400,100),(100,2400,200),(0,2350,200)'
