#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_009u4u0c.slha	233.555021	237.931347	235.899208	1330.82155	2197.82615	2197.99005	-1	-1	-1	-1	-1	-1	-1	1295.24621	2045.85873	228.720156	10.3710408	[]
ew_i0w6l5_z.slha	463.931347	467.063395	465.75735	1939.25762	3064.83787	3065.00212	-1	-1	-1	-1	-1	-1	-1	1903.32737	2894.26724	449.775864	20.7071362	[]
ew_9kqgv6a2.slha	139.867682	144.757443	142.463886	1245.07296	1840.3347	1840.49711	-1	-1	-1	-1	-1	-1	-1	1206.53995	1698.26283	137.044955	24.0110367	[]
ew_tfiovhkp.slha	136.491615	140.559995	138.909717	936.452411	3073.80095	3073.96644	-1	-1	-1	-1	-1	-1	-1	916.049038	2902.01633	133.770869	19.6957995	[]
ew_pe6gm864.slha	162.9721	166.002471	164.625327	2576.73517	2665.06762	2659.67096	-1	-1	-1	-1	-1	-1	-1	2523.45767	2496.07374	158.981271	15.4301582	[]
ew_2w7_0mht.slha	120.078726	187.897746	182.227108	196.823885	1226.60898	1226.77801	0.8995485	1.84396	ATLAS-SUSY-2019-09,CMS-SUS-16-048	1.787529	ATLAS-SUSY-2019-09	1.900114	ATLAS-SUSY-2019-09	123.382498	1107.04464	175.852382	24.1967523	-1
ew_ya8pgq_s.slha	337.766752	393.516374	340.64611	452.108161	1075.28905	455.085277	0.02831524	0.05845438	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.06158227	ATLAS-SUSY-2019-09	0.05455914	ATLAS-SUSY-2019-09	1029.9268	339.684978	375.977723	42.827104	-1
ew_pm7v88jx.slha	41.9232361	568.298083	567.56024	570.394895	2488.48715	2488.65239	2.534231	2.512624	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.1258	ATLAS-SUSY-2018-41	1.497989	CMS-SUS-21-002	37.3583375	2329.70548	549.148424	27.4295569	-1
ew_xep0c5x4.slha	203.837763	208.519417	206.143838	1613.64042	2417.89397	1613.81735	-1	-1	-1	-1	-1	-1	-1	2364.56862	1486.85605	198.451972	25.6396669	[]
ew_1zdrq8ew.slha	102.215683	560.777617	559.610313	562.116978	2748.74068	2748.90572	2.39039	2.275463	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.854728	ATLAS-SUSY-2018-41	1.33791	CMS-SUS-21-002	97.4989574	2584.33802	541.373906	22.1884429	-1
ew_zyfd0b6_.slha	497.796174	501.187315	499.559304	2378.07703	2961.76514	2378.24808	-1	-1	-1	-1	-1	-1	-1	2909.24297	2226.86266	482.725172	43.2890029	[]
ew_doee040q.slha	214.094599	219.783289	216.827673	1356.03636	1924.54638	1356.22353	-1	-1	-1	-1	-1	-1	-1	1872.28939	1237.25771	208.773766	38.5314635	['CMS-SUS-16-039-agg']
ew_cfy7kvhq.slha	128.011693	137.298647	132.087148	799.855323	1518.0397	800.094107	2.186633	2.157825	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.395602	ATLAS-SUSY-2018-41	1.689433	ATLAS-SUSY-2018-41	1468.22189	707.051151	127.885121	38.8767151	-1
ew_tnty1r0d.slha	113.969771	120.997831	118.430057	421.886773	2924.33341	2924.49917	0.1691114	0.1025963	ATLAS-SUSY-2019-09	0.1691114	ATLAS-SUSY-2019-09	0.1025963	ATLAS-SUSY-2019-09	406.372419	2754.91178	113.42223	37.3867146	-1
ew_m_w4cu99.slha	267.905886	271.728138	269.890288	2053.77436	2496.5286	2053.94914	-1	-1	-1	-1	-1	-1	-1	2443.19939	1910.13648	259.794905	26.7658471	[]
ew_4kvfly9j.slha	194.606075	198.281027	196.606307	1953.02084	2284.20049	2284.35987	-1	-1	-1	-1	-1	-1	-1	1904.98241	2129.45584	188.983085	25.415455	[]
ew_nm1j7wxr.slha	25.6215285	864.06878	864.24246	1255.43162	1262.52143	1263.41139	2.048331	2.48271	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.308986	ATLAS-SUSY-2018-41	1.69082	CMS-SUS-21-002	18.8809825	778.953393	1224.69928	36.3394958	-1
ew_sdf_e1pg.slha	363.311947	371.321483	366.802015	1134.20729	1185.30524	1134.62666	0.2892122	0.3444797	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.337321	ATLAS-SUSY-2018-41	0.2376429	ATLAS-SUSY-2018-41	1138.49281	1020.15502	355.453385	33.764023	-1
ew_ov8ukvcl.slha	311.887046	1066.8473	1066.93391	1073.2327	1608.71792	1608.88707	0.3690603	0.4784363	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.4443208	ATLAS-SUSY-2018-41	0.3407865	CMS-SUS-21-002	298.200581	1474.82373	1043.78499	38.9421697	-1
ew_ltjguppf.slha	301.47222	309.896724	304.700531	934.922032	2204.17511	935.134654	0.90348	0.9566084	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.042731	ATLAS-SUSY-2018-41	0.7325149	ATLAS-SUSY-2018-41	2151.07122	839.096025	295.668444	46.3348482	-1
ew_8ipkv4gp.slha	106.00517	500.870425	501.034641	2004.54962	2005.69463	2006.67566	3.45817	4.005521	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.367004	CMS-SUS-21-002	3.018928	CMS-SUS-21-002	99.1104139	440.41311	1963.26566	33.369407	-1
ew_uw5kv7jt.slha	473.483409	481.647673	477.238736	1045.17442	1289.18042	1289.31376	0.04342607	0.07642431	CMS-SUS-21-002	0.04342607	CMS-SUS-21-002	0.07642431	CMS-SUS-21-002	1003.5588	1167.61612	463.343435	20.2585904	-1
ew_vb9_9lxv.slha	499.643901	507.806824	505.21059	765.704329	2031.02708	2031.19177	-1	-1	-1	-1	-1	-1	-1	738.938356	1884.51312	489.517851	14.7617509	[]
ew_qwat60zq.slha	441.691479	450.126609	446.872915	761.059111	1725.40816	1725.57186	-1	-1	-1	-1	-1	-1	-1	732.217661	1588.77474	434.679509	8.21439369	[]
ew_y51ax1mu.slha	198.274533	203.686114	200.894353	1407.75882	2071.69941	1407.94227	-1	-1	-1	-1	-1	-1	-1	2018.93153	1287.68441	193.357369	32.8966317	['CMS-SUS-16-039-agg']
ew_qqrnvj9l.slha	278.123238	286.456398	281.135519	1023.95685	1530.52421	1024.17512	0.5363227	0.6443459	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.6807017	ATLAS-SUSY-2018-41	0.4788521	ATLAS-SUSY-2018-41	1480.95255	919.659631	275.078305	7.89794307	-1
ew_01sl4e1x.slha	433.761391	439.514315	437.164997	974.740797	2009.72558	2009.89015	-1	-1	-1	-1	-1	-1	-1	944.380586	1862.87459	422.362923	47.35945	[]
ew_7zuivto1.slha	359.377316	364.863443	361.669419	1413.77589	2847.87723	1413.95492	-1	-1	-1	-1	-1	-1	-1	2795.16855	1298.84958	350.131558	17.5726201	['CMS-SUS-16-039-agg']
ew_vqln6gk4.slha	498.070891	732.875918	733.016364	1355.31199	1361.35486	1361.43191	0.1341002	0.1787864	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1176169	CMS-SUS-21-002	0.1403822	ATLAS-SUSY-2019-08	479.158456	657.93268	1323.30858	8.54197898	-1
ew_8n2rdsq8.slha	242.307178	246.952852	244.582645	1588.37381	2889.59247	1588.54888	-1	-1	-1	-1	-1	-1	-1	2836.79627	1465.46937	235.374825	40.471661	[]
ew_3vrqqhz0.slha	389.500429	395.33275	392.752713	1021.50963	1811.99386	1812.15728	-1	-1	-1	-1	-1	-1	-1	987.9825	1671.29938	379.192336	39.3623515	[]
ew_ufltnjnx.slha	362.026818	739.2253	737.52053	740.830375	1949.96414	1950.12947	0.7412929	0.6760566	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6240624	ATLAS-SUSY-2018-41	0.4240025	ATLAS-SUSY-2018-41	350.847357	1806.70706	717.398427	12.9613142	-1
ew_zxxt35qy.slha	184.316428	187.865245	186.428087	1234.51	3102.50477	3102.67003	-1	-1	-1	-1	-1	-1	-1	1209.93753	2930.39456	179.045236	25.5786247	[]
ew_v9ffvm8p.slha	446.642631	450.112601	448.432343	2333.48902	2780.53167	2333.6614	-1	-1	-1	-1	-1	-1	-1	2727.61145	2182.63	433.009129	25.9563949	[]
ew_ehm_kvrl.slha	216.424869	570.522413	569.734521	577.750155	1033.25029	1033.4232	1.032719	1.109402	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.704754	ATLAS-SUSY-2018-05-ewk	0.6803897	CMS-SUS-21-002	203.481516	920.943474	556.531703	26.508282	-1
ew_31sh5doy.slha	480.478439	485.03181	483.020507	1389.87987	2202.01666	2202.18026	-1	-1	-1	-1	-1	-1	-1	1352.8606	2049.85809	466.868657	46.2454919	[]
