| m(stau) [GeV] | m(chi1) [GeV] | official 95% UL [pb] | pyhf 95% UL [pb] | discrepancy [%] |
|---------------|---------------|----------------------|------------------|-----------------|
| 80            | 1             | 24.44300             | 14.46105         | -40.8           |
| 100           | 1             | 0.62703              | 0.72494          | 15.6            |
| 120           | 1             | 0.19548              | 0.23939          | 22.5            |
| 120           | 40            | 0.49516              | 0.53683          | 8.4             |
| 140           | 1             | 0.08059              | 0.09407          | 16.7            |
| 140           | 40            | 0.12468              | 0.14767          | 18.4            |
| 160           | 100           | 1.16810              | 1.25081          | 7.1             |
| 160           | 1             | 0.03869              | 0.04331          | 11.9            |
| 160           | 40            | 0.04872              | 0.05618          | 15.3            |
| 160           | 80            | 0.19953              | 0.20953          | 5.0             |
| 180           | 1             | 0.02181              | 0.02799          | 28.3            |
| 180           | 40            | 0.02668              | 0.03151          | 18.1            |
| 200           | 120           | 0.10116              | 0.12524          | 23.8            |
| 200           | 1             | 0.01232              | 0.01572          | 27.5            |
| 200           | 40            | 0.01445              | 0.01861          | 28.8            |
| 200           | 80            | 0.02917              | 0.03282          | 12.5            |
| 220           | 1             | 0.00720              | 0.00836          | 16.1            |
| 220           | 40            | 0.01114              | 0.01343          | 20.5            |
| 240           | 120           | 0.01747              | 0.02044          | 17.0            |
| 240           | 160           | 0.09266              | 0.10593          | 14.3            |
| 240           | 1             | 0.00786              | 0.00993          | 26.4            |
| 240           | 40            | 0.00754              | 0.00979          | 29.9            |
| 240           | 80            | 0.01125              | 0.01179          | 4.8             |
| 260           | 1             | 0.00507              | 0.00565          | 11.5            |
| 260           | 40            | 0.00656              | 0.00761          | 15.9            |
| 280           | 120           | 0.00604              | 0.00655          | 8.5             |
| 280           | 160           | 0.01679              | 0.01919          | 14.3            |
| 280           | 1             | 0.00476              | 0.00562          | 18.2            |
| 280           | 40            | 0.00414              | 0.00442          | 6.7             |
| 280           | 80            | 0.00502              | 0.00594          | 18.3            |
| 300           | 1             | 0.00355              | 0.00390          | 9.8             |
| 300           | 40            | 0.00356              | 0.00395          | 11.1            |
| 320           | 120           | 0.00458              | 0.00463          | 1.2             |
| 320           | 160           | 0.00505              | 0.00541          | 7.1             |
| 320           | 1             | 0.00292              | 0.00332          | 13.8            |
| 320           | 40            | 0.00303              | 0.00320          | 5.7             |
| 320           | 80            | 0.00302              | 0.00338          | 12.0            |
| 340           | 1             | 0.00226              | 0.00258          | 14.5            |
| 340           | 40            | 0.00239              | 4.37185          | 182914.6        |
| 360           | 120           | 0.00331              | 6.32643          | 190967.2        |
| 360           | 160           | 0.00356              | 0.00386          | 8.5             |
| 360           | 1             | 0.00220              | 0.00249          | 13.0            |
| 360           | 40            | 0.00244              | 0.00270          | 10.5            |
| 360           | 80            | 0.00288              | 0.00311          | 8.3             |
| 380           | 1             | 0.00209              | 0.00239          | 14.4            |
| 400           | 120           | 0.00210              | 0.00240          | 14.2            |
| 400           | 160           | 0.00268              | 0.00282          | 5.2             |
| 400           | 1             | 0.00202              | 0.00232          | 14.8            |
| 400           | 40            | 0.00200              | 0.00226          | 13.3            |
| 400           | 80            | 0.00197              | 0.00217          | 10.1            |
| 440           | 120           | 0.00191              | 0.00207          | 8.7             |
| 440           | 1             | 0.00162              | 0.00184          | 13.7            |
| 440           | 40            | 0.00192              | 0.00204          | 5.9             |
| 440           | 80            | 0.00172              | 0.00189          | 10.1            |
| 280           | 200           | 0.07698              | 0.09312          | 21.0            |
| 320           | 200           | 0.01404              | 0.01488          | 6.0             |
| 360           | 200           | 0.00547              | 0.00505          | -7.6            |
